종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1299","-2","-0.15","1301","1315","1286","218980","284143620","68923692960","53059040"
"095570","AJ네트웍스","KOSPI",,"4285","-90","-2.06","4380","4395","4275","122726","529533309","193908072315","45252759"
"006840","AK홀딩스","KOSPI",,"6300","-300","-4.55","6600","6760","6300","21745","139165230","83459634300","13247561"
"054620","APS","KOSDAQ","중견기업부","4590","-150","-3.16","4740","4750","4400","58489","264494000","84429474390","18394221"
"079810","APS이노베이션","KOSDAQ","우량기업부","3670","-165","-4.30","3835","3850","3610","136363","504148087","79008104980","21528094"
"265520","AP시스템","KOSDAQ","우량기업부","24250","-500","-2.02","24500","24650","23900","50715","1229132650","364982409250","15050821"
"211270","AP위성","KOSDAQ","우량기업부","11060","-610","-5.23","11650","11700","11050","151980","1702229355","166810282240","15082304"
"027410","BGF","KOSPI",,"4150","-100","-2.35","4235","4295","4000","218627","900701950","397224682650","95716791"
"282330","BGF리테일","KOSPI",,"117500","-2500","-2.08","120000","120400","116800","187961","22324584300","2030858955000","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3205","-135","-4.04","3315","3325","3170","120068","386411445","201167911295","62766899"
"138930","BNK금융지주","KOSPI",,"17730","-440","-2.42","18100","18450","17730","671883","12044281550","5502098295090","310327033"
"001460","BYC","KOSPI",,"35400","-1600","-4.32","37550","37550","35300","2429","86798850","221113710000","6246150"
"001465","BYC우","KOSPI",,"23850","-1000","-4.02","24950","24950","23800","680","16286400","51369322500","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1024","16","1.59","1020","1050","975","164736","168019405","78739642368","76894182"
"001040","CJ","KOSPI",,"183500","500","0.27","181200","192500","180000","151450","28232539600","5353979133000","29176998"
"079160","CJ CGV","KOSPI",,"4585","-125","-2.65","4710","4720","4585","235811","1091338361","759195629535","165582471"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","36750","-1550","-4.05","38300","38600","36750","46832","1753939200","805896409500","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","4800","-250","-4.95","5010","5040","4650","20020","96857645","62714217600","13065462"
"00104K","CJ4우(전환)","KOSPI",,"169200","1000","0.59","168700","171700","165700","7680","1294684550","715125830400","4226512"
"000120","CJ대한통운","KOSPI",,"81400","-3300","-3.90","84000","84600","81400","38487","3168563150","1856924801600","22812344"
"011150","CJ씨푸드","KOSPI",,"2030","-80","-3.79","2100","2120","2020","92539","190471520","72939469190","35930773"
"011155","CJ씨푸드1우","KOSPI",,"9790","90","0.93","9900","9900","9790","40","394520","1958000000","200000"
"001045","CJ우","KOSPI",,"75300","-900","-1.18","76600","77100","74800","3114","236092800","170194791900","2260223"
"097950","CJ제일제당","KOSPI",,"192900","-4400","-2.23","197300","197300","191500","77673","15033737200","2903952479400","15054186"
"097955","CJ제일제당 우","KOSPI",,"121200","-2400","-1.94","123600","123700","121200","6292","766206900","160884879600","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","23950","-600","-2.44","24500","24500","23900","20798","502990675","284324484700","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1070","-69","-6.06","1132","1136","1069","423875","464214646","158191135810","147842183"
"056730","CNT85","KOSDAQ","중견기업부","2055","55","2.75","1984","2055","1920","15044","30443486","30459697035","14822237"
"000480","CR홀딩스","KOSPI",,"4755","-130","-2.66","4885","4885","4755","38885","187029165","222964279950","46890490"
"065770","CS","KOSDAQ","벤처기업부","1589","-90","-5.36","1665","1679","1581","95520","153355428","15422142785","9705565"
"083660","CSA 코스믹","KOSDAQ","중견기업부","308","-88","-22.22","434","450","306","12745890","4682962152","19351473372","62829459"
"000590","CS홀딩스","KOSPI",,"75300","300","0.40","75000","75900","71500","1153","84207100","86932494600","1154482"
"012030","DB","KOSPI",,"1885","-21","-1.10","1906","1964","1836","530549","1006363167","379212863705","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2055","-10","-0.48","2070","2070","2050","15176","31140130","12001200000","5840000"
"005830","DB손해보험","KOSPI",,"149900","-1600","-1.06","150000","153600","149200","151088","22806574650","9818502315100","65500349"
"016610","DB증권","KOSPI",,"10280","-410","-3.84","10750","10750","10230","118548","1231852545","436348878920","42446389"
"000990","DB하이텍","KOSPI",,"154500","-4000","-2.52","157800","158000","148600","534740","81827046950","6721458846000","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"000300","DH오토넥스","KOSPI",,"4200","0","0.00","0","0","0","0","0","174035631000","41437055"
"290120","DH오토리드","KOSDAQ","중견기업부","2685","105","4.07","2580","2900","2500","124885","339196801","42490600245","15825177"
"025440","DH오토웨어","KOSDAQ","투자주의환기종목(소속부없음)","730","0","0.00","0","0","0","0","0","35610293520","48781224"
"001530","DI동일","KOSPI",,"22900","-950","-3.98","23550","23650","22500","56364","1295013200","474387720900","20715621"
"015590","DKME","KOSPI",,"2280","35","1.56","2250","2410","2170","286882","655681125","121743582240","53396308"
"000210","DL","KOSPI",,"52400","-1700","-3.14","53500","53800","51200","94645","4927160350","1098088321600","20955884"
"000215","DL우","KOSPI",,"23400","-950","-3.90","24400","24400","23350","1203","28606450","39455091000","1686115"
"375500","DL이앤씨","KOSPI",,"79200","-5800","-6.82","87500","87600","79200","785139","63754432600","3064534941600","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"51500","-2000","-3.74","54000","54000","49850","4655","239150300","108765476500","2111951"
"37550K","DL이앤씨우","KOSPI",,"25500","-750","-2.86","27000","27000","25450","9982","256806700","53904067500","2113885"
"068790","DMS","KOSDAQ","우량기업부","5020","-190","-3.65","5290","5290","5000","49703","252543680","113302524480","22570224"
"007340","DN오토모티브","KOSPI",,"42700","-2400","-5.32","44650","46500","42400","252421","11063822950","2498413935500","58510865"
"004840","DRB동일","KOSPI",,"4360","-160","-3.54","4520","4550","4260","31299","135813395","84027507040","19272364"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","11000","-410","-3.59","11340","11380","10950","278734","3096407755","292600000000","26600000"
"155660","DSR","KOSPI",,"4240","-110","-2.53","4350","4350","4235","12138","51574285","67840000000","16000000"
"069730","DSR제강","KOSPI",,"5230","0","0.00","5230","5240","5110","20705","106996980","75312000000","14400000"
"017860","DS단석","KOSPI",,"13920","-640","-4.40","14560","14600","13900","73901","1040852095","247207214880","17759139"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","2410","-185","-7.13","2590","2595","2360","271697","657017570","237214931120","98429432"
"092780","DYP","KOSPI",,"4105","-110","-2.61","4230","4230","4050","48510","199858400","54056528300","13168460"
"017940","E1","KOSPI",,"85000","-400","-0.47","85700","85900","82900","16553","1387939700","583100000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1126","-7","-0.62","1150","1240","1077","389265","434523199","22351637102","19850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","741","0","0.00","0","0","0","0","0","167118555474","225531114"
"037370","EG","KOSDAQ","벤처기업부","3605","-115","-3.09","3795","3795","3565","11781","42857125","31093024060","8624972"
"278990","EMB","KONEX","일반기업부","2550","-450","-15.00","2600","2895","2550","375","957740","20565181350","8064777"
"365550","ESR켄달스퀘어리츠","KOSPI",,"3980","-10","-0.25","3950","4055","3890","424222","1700758256","979434220000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","2985","25","0.84","2965","2985","2910","8435","24822260","40488796710","13564086"
"383220","F&F","KOSPI",,"80400","-2600","-3.13","81500","84600","80000","102841","8369127500","3079888830000","38307075"
"007700","F&F홀딩스","KOSPI",,"16260","-570","-3.39","16860","16880","16200","11555","189591650","635999607420","39114367"
"214270","FSN","KOSDAQ","중견기업부","1461","72","5.18","1389","1494","1347","321390","462206055","66116948685","45254585"
"032620","GC메디아이","KOSDAQ","우량기업부","3080","-100","-3.14","3180","3180","3080","85459","266321475","160767188120","52197139"
"130500","GH신소재","KOSDAQ","중견기업부","2040","-65","-3.09","2105","2170","2035","16154","33131656","29671906080","14545052"
"114090","GKL","KOSPI",,"11190","-490","-4.20","11620","11700","11140","267700","3029137855","692164947300","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3260","80","2.52","3240","3340","3090","353846","1126731098","266668000000","81800000"
"078930","GS","KOSPI",,"71300","-1600","-2.19","72300","73200","70700","414772","29627440250","6623448793500","92895495"
"083450","GST","KOSDAQ","우량기업부","57500","-900","-1.54","58500","59900","56700","298147","17221856250","1059725000000","18430000"
"006360","GS건설","KOSPI",,"27700","-1750","-5.94","29900","29950","27700","1159225","32700515875","2370607273000","85581490"
"001250","GS글로벌","KOSPI",,"3015","-210","-6.51","3225","3240","3000","1271700","3877010995","248839298460","82533764"
"007070","GS리테일","KOSPI",,"23050","-850","-3.56","23850","24100","23050","194743","4552423600","1927150915750","83607415"
"078935","GS우","KOSPI",,"53100","-1300","-2.39","55100","55100","52900","4778","254824150","94500795600","1779676"
"499790","GS피앤엘","KOSPI",,"43850","-2250","-4.88","46150","47500","43300","132491","5901814900","869582377850","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","1909","0","0.00","1920","1923","1863","151483","286219565","139626004826","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","1870","-22","-1.16","1927","1935","1870","74620","141374814","51437024100","27506430"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2745","-105","-3.68","2825","2870","2740","1441817","3995213994","254505189420","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","2170","-45","-2.03","2215","2240","2125","48227","103943020","78855037590","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","2055","-5","-0.24","2055","2100","1980","86748","177658223","52172342055","25388001"
"012630","HDC","KOSPI",,"20900","-650","-3.02","21600","21600","20900","59977","1264062575","1248601968900","59741721"
"039570","HDC랩스","KOSPI",,"7830","-20","-0.25","7850","7850","7710","7060","54737670","203248015830","25957601"
"089470","HDC현대EP","KOSPI",,"3915","-190","-4.63","4105","4130","3900","119144","473114777","124888500000","31900000"
"267270","HD건설기계","KOSPI",,"144800","-11100","-7.12","158000","158100","144000","404007","59700649150","6939090685600","47921897"
"009540","HD한국조선해양","KOSPI",,"421000","-13000","-3.00","430000","434500","415500","196177","82654122000","29795481836000","70773116"
"267250","HD현대","KOSPI",,"238500","-24000","-9.14","258500","260500","237000","264920","64050347250","18839850772500","78993085"
"443060","HD현대마린솔루션","KOSPI",,"239000","-7500","-3.04","243500","244500","236000","306888","74545778000","10715196940000","44833460"
"071970","HD현대마린엔진","KOSPI",,"68800","-6500","-8.63","74100","74700","68800","324225","22902097950","2333798856000","33921495"
"322000","HD현대에너지솔루션","KOSPI",,"145000","-14900","-9.32","159900","159900","143000","275888","40730222500","1624000000000","11200000"
"267260","HD현대일렉트릭","KOSPI",,"1087000","-33000","-2.95","1138000","1150000","1070000","142182","156337763500","39183235745000","36047135"
"329180","HD현대중공업","KOSPI",,"684000","-23000","-3.25","706000","726000","681000","361327","251251982500","71793477900000","104961225"
"376270","HEM파마","KOSDAQ","기술성장기업부","50500","-1000","-1.94","51000","52500","49500","12146","616526900","363760943500","7203187"
"097230","HJ중공업","KOSPI",,"23150","-750","-3.14","23900","24750","23000","859700","20299587475","2090337213600","90295344"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","41350","-1900","-4.39","42950","43000","41350","97204","4072832525","1171440992850","28329891"
"014790","HL D&I","KOSPI",,"2730","-60","-2.15","2825","2845","2725","128095","352916070","103353980730","37858601"
"028300","HLB","KOSDAQ","중견기업부","50100","-700","-1.38","50800","53000","50000","780514","40008169550","6673230972300","133198223"
"003580","HLB글로벌","KOSPI",,"1595","-47","-2.86","1640","1669","1586","150962","243403125","80808290475","50663505"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","3250","-185","-5.39","3500","3540","3230","88820","296497728","56655287000","17432396"
"067630","HLB생명과학","KOSDAQ","투자주의환기종목(소속부없음)","3360","-135","-3.86","3495","3670","3340","252141","875279534","409641314880","121917058"
"024850","HLB이노베이션","KOSDAQ","중견기업부","13800","-900","-6.12","14700","14790","13710","122468","1726252240","438198907200","31753544"
"187420","HLB제넥스","KOSDAQ","기술성장기업부","2330","-45","-1.89","2355","2375","2240","128098","295370185","75851486380","32554286"
"047920","HLB제약","KOSDAQ","기술성장기업부","12930","-210","-1.60","13660","13730","12910","164898","2197318790","424095673080","32799356"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","2555","-140","-5.19","2750","2750","2535","328472","858060477","226322178495","88580109"
"046210","HLB파나진","KOSDAQ","벤처기업부","1548","-42","-2.64","1590","1650","1516","63840","99717665","70477282080","45527960"
"196300","HLB펩","KOSDAQ","관리종목(소속부없음)","4650","-430","-8.46","5040","5070","4600","13287","63036079","43600441350","9376439"
"204320","HL만도","KOSPI",,"68800","-5100","-6.90","72800","77500","67600","2490830","181599090350","3230649856000","46957120"
"060980","HL홀딩스","KOSPI",,"43950","-2400","-5.18","46200","47000","43950","30532","1373753350","399015325650","9078847"
"011200","HMM","KOSPI",,"20450","-1650","-7.47","21900","21900","20450","1606593","33569725950","19289216486500","943237970"
"403870","HPSP","KOSDAQ GLOBAL","우량기업부","59400","-3400","-5.41","62500","66300","55900","12589313","766222244150","4888620000000","82300000"
"036640","HRS","KOSDAQ","우량기업부","4810","10","0.21","4835","4885","4795","57433","277003864","78666588000","16354800"
"035000","HS애드","KOSPI",,"7090","-110","-1.53","7270","7270","7090","48574","345688205","114912195960","16207644"
"002460","HS화성","KOSPI",,"13540","40","0.30","13500","13800","13420","11324","153815690","137431000000","10150000"
