date,code,open,high,low,close,volume,trading_value
2026-05-20,000660,212000,216000,209000,214000,3600000,770400000000
2026-05-21,000660,215000,219000,213000,217000,3800000,824600000000
2026-05-22,000660,218000,222000,216000,221000,3900000,861900000000
2026-05-25,000660,220000,224000,217000,219000,3400000,744600000000
2026-05-26,000660,220000,226000,219000,225000,4200000,945000000000
2026-05-27,000660,226000,229000,223000,228000,4100000,934800000000
2026-05-28,000660,229000,233000,226000,231000,4300000,993300000000
2026-05-29,000660,232000,235000,228000,230000,3900000,897000000000
2026-06-01,000660,231000,238000,230000,236000,4500000,1062000000000
2026-06-02,000660,237000,241000,234000,240000,4700000,1128000000000
2026-06-03,000660,241000,244000,236000,238000,4200000,999600000000
2026-06-04,000660,239000,245000,238000,243000,4600000,1117800000000
2026-06-05,000660,244000,247000,240000,242000,4300000,1040600000000
2026-06-08,000660,243000,249000,241000,247000,4800000,1185600000000
2026-06-09,000660,248000,252000,244000,250000,5000000,1250000000000
2026-06-10,000660,249000,253000,245000,247500,4600000,1138500000000
2026-06-11,000660,248000,255000,246000,253000,5200000,1315600000000
2026-06-12,000660,254000,256000,248000,250000,4700000,1175000000000
2026-06-15,000660,249000,251000,241000,244000,5300000,1293200000000
2026-06-16,000660,243000,246000,235000,239500,5600000,1341200000000
