종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","2770456","3422071","651615","6354086162000","8040417907500","1686331745500"
"005930","삼성전자","12018731","12187623","168892","3835505213000","4058699263000","223194050000"
"047810","한국항공우주","468734","1116324","647590","70034608850","163831210550","93796601700"
"010120","LS ELECTRIC","357577","671201","313624","88182757000","163519222500","75336465500"
"010140","삼성중공업","2614038","5144857","2530819","71065366900","139326523100","68261156200"
"138040","메리츠금융지주","184979","656076","471097","20504338350","72768461750","52264123400"
"079550","LIG디펜스앤에어로스페이스","140236","186133","45897","119791024000","165736919000","45945895000"
"006800","미래에셋증권","1927249","2841783","914534","98253271125","143936880575","45683609450"
"373220","LG에너지솔루션","150588","262961","112373","60036312500","105496283750","45459971250"
"035420","NAVER","658170","826145","167975","158663884000","201201009000","42537125000"
"279570","케이뱅크","434197","6598047","6163850","3086693595","44928019570","41841325975"
"017670","SK텔레콤","434546","837289","402743","43786702350","85125969250","41339266900"
"298040","효성중공업","39576","50158","10582","142740790500","180329478000","37588687500"
"000150","두산","50752","71186","20434","85625858500","120450084000","34824225500"
"267260","HD현대일렉트릭","108354","133428","25074","118984844000","147375601000","28390757000"
"066570","LG전자","527706","644797","117091","122930441000","149930998000","27000557000"
"036930","주성엔지니어링","1144029","1271269","127240","267885617250","293702646250","25817029000"
"003490","대한항공","1836650","2711260","874610","51190765800","76669075525","25478309725"
"003670","포스코퓨처엠","157106","278919","121813","31125718550","54568177650","23442459100"
"196170","알테오젠","425081","487392","62311","148659560000","171102659250","22443099250"
"018260","삼성에스디에스","170511","267307","96796","39497188750","61797195500","22300006750"
"178320","서진시스템","400645","701662","301017","29261781150","51055780950","21793999800"
"005380","현대차","511700","548643","36943","316044753500","337718781500","21674028000"
"032830","삼성생명","188547","250063","61516","79218002500","99609641250","20391638750"
"055550","신한지주","1219753","1409724","189971","123914436100","144179772900","20265336800"
"086520","에코프로","816202","1019879","203677","95486754600","115726135650","20239381050"
"068270","셀트리온","429031","539122","110091","73683226200","93054976450","19371750250"
"217590","티엠씨","36235","1008332","972097","695349455","18587378150","17892028695"
"357780","솔브레인","165040","204889","39849","66865791750","82801624750","15935833000"
"222800","심텍","711017","834712","123695","93140172500","108914486750","15774314250"
"066970","엘앤에프","273542","377864","104322","36050896400","50123741450","14072845050"
"028260","삼성물산","250647","283710","33063","116501500750","129360170000","12858669250"
"009150","삼성전기","406081","414193","8112","783788811500","795401969500","11613158000"
"356860","티엘비","86340","214592","128252","8182099850","19607883750","11425783900"
"096770","SK이노베이션","264696","368416","103720","28004263400","39224512400","11220249000"
"014680","한솔케미칼","60310","98822","38512","17537061500","28602952250","11065890750"
"003550","LG","439809","534674","94865","47966571700","58824967450","10858395750"
"005290","동진쎄미켐","730142","910688","180546","43179012100","53830074100","10651062000"
"251270","넷마블","289490","535018","245528","11898753575","22335124750","10436371175"
"005935","삼성전자우","213976","262218","48242","47313086200","57605026650","10291940450"
"241560","두산밥캣","274791","401760","126969","18134315800","26560158850","8425843050"
"046890","서울반도체","781152","1402338","621186","10166552465","18183926570","8017374105"
"402340","SK스퀘어","489187","493981","4794","692296684000","700290449500","7993765500"
"001440","대한전선","848144","1054279","206135","34158475825","41934205375","7775729550"
"020560","아시아나항공","99511","1064667","965156","727768020","8326326025","7598558005"
"263750","펄어비스","294388","479587","185199","11914190675","19386701125","7472510450"
"084370","유진테크","306443","351464","45021","55354914500","62359596050","7004681550"
"042660","한화오션","850253","895801","45548","101419676050","108400488450","6980812400"
"022100","포스코DX","282364","540675","258311","7710263125","14535618975","6825355850"
"064400","LG씨엔에스","255827","326821","70994","23940559200","30733851150","6793291950"
"267270","HD건설기계","132816","178015","45199","19693251100","26365258900","6672007800"
"090430","아모레퍼시픽","91038","145019","53981","10050790650","16132375100","6081584450"
"006260","LS","173713","183674","9961","70446402250","76423195750","5976793500"
"000500","가온전선","28344","52527","24183","8827511250","14671421250","5843910000"
"00680K","미래에셋증권2우B","40540","411414","370874","584938190","6118043110","5533104920"
